,company,time,username,,sentiment,date
0,TCS,3:03,maxversace,,0.4767,4/14/2018
0,TCS,3:05,ReadITQuik,,0,4/14/2018
0,TCS,3:29,AskManthan,,0.4767,4/14/2018
0,TCS,3:33,SomeFutures,,0.4767,4/14/2018
0,TCS,3:34,sharebossindia,,0,4/14/2018
0,TCS,4:00,5urendraa,,-0.296,4/14/2018
0,TCS,4:05,TCS_SAP,,0.0772,4/14/2018
0,TCS,4:13,KimbleApps,,0,4/14/2018
0,TCS,4:16,Industry40,,0,4/14/2018
0,TCS,4:41,VipinSinghvns,,0,4/14/2018
0,TCS,4:42,dhananjai_hari,,0,4/14/2018
0,TCS,4:42,TCS_Europe,,0,4/14/2018
0,TCS,4:43,vj_buddy,,0,4/14/2018
0,TCS,4:50,IntelITCenter,,0.4404,4/14/2018
0,TCS,4:52,prav360_,,0.7959,4/14/2018
0,TCS,4:53,soumak_das,,0,4/14/2018
0,TCS,5:00,Rhea_mjee,,0,4/14/2018
0,TCS,5:04,SDRengan,,0,4/14/2018
0,TCS,5:05,kingofpayments,,0,4/14/2018
0,TCS,5:06,bhaskard1997,,0,4/14/2018
0,TCS,5:08,kltprasanna,,0,4/14/2018
0,TCS,5:10,EshicaA,,0,4/14/2018
0,TCS,5:12,IndiaSmartGridF,,0.9001,4/14/2018
0,TCS,5:18,GeigerEnCounter,,0.7783,4/14/2018
0,TCS,5:18,vdmacs,,0,4/14/2018
0,TCS,5:31,mrugank981,,0,4/14/2018
0,TCS,5:33,ullas_ravi,,0,4/14/2018
0,TCS,6:11,UCStrategies,,0,4/14/2018
0,TCS,6:12,ITandTelecoms,,0,4/14/2018
0,TCS,6:14,fxsignals4pips,,0.296,4/14/2018
0,TCS,6:15,ANPPersSupport,,0.296,4/14/2018
0,TCS,6:15,followdougles,,0.296,4/14/2018
0,TCS,6:16,styx0613,,0,4/14/2018
0,TCS,6:18,ACIKT2012,,0,4/14/2018
0,TCS,6:19,NectarCorp,,0,4/14/2018
0,TCS,6:27,mridul122,,0.9037,4/14/2018
0,TCS,6:33,CommuniGate,,0,4/14/2018
0,TCS,6:40,e_a_canas,,0.4404,4/14/2018
0,TCS,6:50,godavar,,0.6416,4/14/2018
0,TCS,6:51,godavar,,0.264,4/14/2018
0,TCS,6:52,ukcitymedia,,0.296,4/14/2018
0,TCS,6:58,kingstonjr,,0,4/14/2018
0,TCS,7:01,Vidyut,,0.264,4/14/2018
0,TCS,7:02,ukyICT,,0.3595,4/14/2018
0,TCS,7:10,pandey_priyanka,,0.264,4/14/2018
0,TCS,7:18,sundar_rrsk,,0,4/14/2018
0,TCS,7:31,Fardeen_093,,-0.3612,4/14/2018
0,TCS,7:32,CtrlShiftF5,,0.264,4/14/2018
0,TCS,7:34,Fardeen_093,,0.0387,4/14/2018
0,TCS,7:39,iVolveKim,,0,4/14/2018
0,TCS,7:40,shai_bal,,0.264,4/14/2018
0,TCS,7:48,STEMConnector,,0.4767,4/14/2018
0,TCS,7:52,Fardeen_093,,-0.2023,4/14/2018
0,TCS,7:54,CIOSHAFIQ,,0,4/14/2018
0,TCS,7:55,Irish_TechNews,,0.4767,4/14/2018
0,TCS,7:55,exit17,,0.4574,4/14/2018
0,TCS,8:18,prasunchat,,0,4/14/2018
0,TCS,8:23,damienbrowne,,0.4767,4/14/2018
0,TCS,8:42,Stupidosaur,,0.264,4/14/2018
0,TCS,8:52,business_supser,,0.296,4/14/2018
0,TCS,9:27,Techno__Brat,,0.3612,4/14/2018
0,TCS,9:36,AI_Today,,0,4/14/2018
0,TCS,9:56,MPalSingh1981,,-0.1027,4/14/2018
0,TCS,10:07,Norma_Opto22,,0,4/14/2018
0,TCS,10:07,Venky_Sur,,0.4404,4/14/2018
0,TCS,10:07,awryaditi,,0.264,4/14/2018
0,TCS,10:09,coronaborealix,,0.264,4/14/2018
0,TCS,10:23,BanerjiSougata,,0.7003,4/14/2018
0,TCS,10:24,ghantagiri,,-0.2406,4/14/2018
0,TCS,10:32,SRIVATHSAN_TCS,,0.4404,4/14/2018
0,TCS,10:36,MayankGureja,,0.264,4/14/2018
0,TCS,11:18,anubhavmalhotra,,0.264,4/14/2018
0,TCS,11:31,novelnarratives,,0.264,4/14/2018
0,TCS,1:45,gopikamisra,,0.264,4/14/2018
0,TCS,1:47,GarvSeSecular,,0.264,4/14/2018
0,TCS,1:49,minikunjithai,,0,4/14/2018
0,TCS,1:50,SujMad1,,0.264,4/14/2018
0,TCS,1:57,financialbuzz,,0.296,4/14/2018
0,TCS,2:22,lungi_news,,0.0516,4/14/2018
0,TCS,2:25,SprintbaseApp,,0.2732,4/14/2018
0,TCS,2:26,lungi_news,,0,4/14/2018
0,TCS,2:30,evankirstel,,0,4/14/2018
0,TCS,2:35,rajinkumar,,0,4/14/2018
0,TCS,2:37,AmberRishi,,0.264,4/14/2018
0,TCS,2:37,KetWandji,,0,4/14/2018
0,TCS,2:41,fight4justice08,,-0.1027,4/14/2018
0,TCS,2:50,SarcasticSaint,,0.264,4/14/2018
0,TCS,2:52,designthinkbot,,0.2732,4/14/2018
0,TCS,2:52,teodora76279859,,0.2732,4/14/2018
0,TCS,3:00,visu_bio,,0.5859,4/14/2018
0,TCS,3:02,gauravkxj62,,0.2732,4/14/2018
0,TCS,3:17,BanerjiSougata,,0.2732,4/14/2018
0,TCS,3:19,c0sm0gyral,,0.264,4/14/2018
0,TCS,3:26,realTimCasten,,0.2732,4/14/2018
0,TCS,3:37,Donnaantoniadis,,0,4/14/2018
0,TCS,3:48,meChrisB,,0.2732,4/14/2018
0,TCS,4:03,Dragon_Gemini,,0,4/14/2018
0,TCS,4:20,aayushi_s,,0.264,4/14/2018
0,TCS,4:31,pillaipravin,,0,4/14/2018
0,TCS,4:37,naidu9301,,0.3612,4/14/2018
0,TCS,5:04,neerajjaihind,,0.296,4/14/2018
0,TCS,5:37,sectest9,,0,4/14/2018
0,TCS,5:41,ColorSTREAMedia,,0,4/14/2018
0,TCS,5:53,biebsftshawty,,0,4/14/2018
0,TCS,5:56,biebsftshawty,,0,4/14/2018
0,TCS,6:27,cipherstorm,,0.4767,4/14/2018
0,TCS,6:42,SatinderRyatt,,0,4/14/2018
0,TCS,6:42,sahildingreja,,0.7476,4/14/2018
0,TCS,6:43,IT_securitynews,,0.4767,4/14/2018
0,TCS,6:54,blues_control,,0.3182,4/14/2018
0,TCS,6:54,BinduW1,,0.3182,4/14/2018
0,TCS,6:56,sahil_agg,,0,4/14/2018
0,TCS,7:15,CRM_SocialMedia,,0,4/14/2018
0,TCS,7:18,thisisarunraj,,0.7476,4/14/2018
0,TCS,7:30,jburnsconsult,,0.4767,4/14/2018
0,TCS,7:31,CTWonline,,0.2732,4/14/2018
0,TCS,8:06,TCS_Oracle,,0,4/14/2018
0,TCS,8:08,Swagsn,,0,4/14/2018
0,TCS,8:25,santhasubramoni,,0,4/14/2018
0,TCS,8:40,cybfor,,0,4/14/2018
0,TCS,8:45,dcahill8,,0.7783,4/14/2018
0,TCS,8:52,rohitians,,0,4/14/2018
0,TCS,9:00,TataCompanies,,0.5719,4/14/2018
0,TCS,9:00,paga11m,,0.5719,4/14/2018
0,TCS,9:06,Shobhit309,,0.5719,4/14/2018
0,TCS,9:12,choubey_guru,,0.5719,4/14/2018
