,company,date,time,username,,sentiment
0,HERO,4/15/2018,6:36,moneycontrolcom,,0.6597
0,HERO,4/15/2018,6:30,bsmotoring,,0.5574
0,HERO,4/15/2018,5:54,peehusharma0716,,0
0,HERO,4/15/2018,5:40,AxisDirect_In,,0.4939
0,HERO,4/15/2018,4:21,Bajaj7Raunak,,0.836
0,HERO,4/15/2018,4:18,Jhaveri_Sec,,0.5574
0,HERO,4/15/2018,4:09,DSWINDIA,,-0.5423
0,HERO,4/15/2018,3:43,safiranand,,0.836
0,HERO,4/15/2018,3:24,hemantmaru,,0
0,HERO,4/15/2018,3:01,jatin2051,,0
0,HERO,4/15/2018,2:54,BrainandMoney,,0
0,HERO,3/27/2018,10:30,StockflareIN,,0.5574
0,HERO,3/27/2018,9:22,annettefantasti,,0.1406
0,HERO,3/27/2018,7:37,mw569256,,0.4215
0,HERO,3/27/2018,6:56,FantasticAndy,,0.1406
0,HERO,3/27/2018,6:40,3NovicesChennai,,0.7506
0,HERO,3/27/2018,4:20,in_tradingview,,0.5574
0,HERO,3/27/2018,4:10,TV_TradingIdeas,,0.5574
0,HERO,3/27/2018,12:55,EqsisVM,,0.296
0,HERO,3/27/2018,11:33,ScanstockIn,,0
0,HERO,3/27/2018,10:30,tradeindiarese1,,0.7579
0,HERO,3/27/2018,9:33,entrepreneur987,,0
0,HERO,3/27/2018,6:36,tradeindiarese1,,0
0,HERO,3/27/2018,5:53,TradTips,,0.5106
0,HERO,3/27/2018,5:38,IndiaNotes,,0
0,HERO,3/27/2018,5:18,sharebossindia,,0
0,HERO,3/27/2018,3:55,KRChokseyShares,,0.7579
0,HERO,3/26/2018,9:45,nippynews,,0.5574
0,HERO,3/26/2018,7:36,kumarherobaroda,,0.9072
0,HERO,3/26/2018,4:46,Sajivdhawan,,0.5719
0,HERO,3/26/2018,2:58,Kprakhar17KUMAR,,0.5994
0,HERO,3/25/2018,4:42,2013motorcycles,,0.9072
0,HERO,3/25/2018,4:30,TV_TradingIdeas,,0
0,HERO,3/25/2018,4:07,TV_TradingIdeas,,0
